"display_title" "opening_date" "publication_date" "url" "mpaa_rating" "critics_pick"
"1" "Mothers and Daughters" "2016-05-06" "2016-05-05" "http://www.nytimes.com/2016/05/06/movies/mothers-and-daughters-review.html" "PG-13" 0
"2" "Beautiful Something" "2016-05-06" "2016-05-05" "http://www.nytimes.com/2016/05/06/movies/beautiful-something-review.html" "Not Rated" 0
"3" "Elstree 1976" "2016-05-06" "2016-05-05" "http://www.nytimes.com/2016/05/06/movies/elsetree-1976-review-star-wars-documentary.html" "" 1
"4" "Those People" "2016-05-06" "2016-05-05" "http://www.nytimes.com/2016/05/06/movies/those-people-review.html" "" 0
"5" "Being Charlie" "2016-05-06" "2016-05-05" "http://www.nytimes.com/2016/05/06/movies/being-charlie-review-rob-reiner.html" "" 0
"6" "The Offering" "2016-05-06" "2016-05-05" "http://www.nytimes.com/2016/05/06/movies/the-offering-review.html" "" 0
"7" "Mad Tiger" "2016-05-06" "2016-05-05" "http://www.nytimes.com/2016/05/06/movies/review-mad-tiger.html" "" 0
"8" "Dark Horse" "2016-05-06" "2016-05-05" "http://www.nytimes.com/2016/05/06/movies/dark-horse-review.html" "PG" 1
"9" "Captain America: Civil War" "2016-05-06" "2016-05-05" "http://www.nytimes.com/2016/05/06/movies/captain-america-civil-war-review-chris-evans.html" "PG-13" 0
"10" "A Bigger Splash" "2016-05-04" "2016-05-03" "http://www.nytimes.com/2016/05/04/movies/a-bigger-splash-review-tilda-swinton.html" "R" 1
"11" "Baaghi" "2016-04-29" "2016-05-01" "http://www.nytimes.com/2016/05/02/movies/baaghi-review.html" "" 0
"12" "The Family Fang" "2016-05-06" "2016-04-28" "http://www.nytimes.com/2016/04/29/movies/the-family-fang-review-jason-bateman-nicole-kidman.html" "R" 0
"13" "The Man Who Knew Infinity" "2016-04-29" "2016-04-28" "http://www.nytimes.com/2016/04/29/movies/the-man-who-knew-infinity-review.html" "PG-13" 0
"14" "Older Than Ireland" "2016-04-29" "2016-04-28" "http://www.nytimes.com/2016/04/29/movies/older-than-ireland-review.html" "" 1
"15" "A Beautiful Planet" "2016-04-29" "2016-04-28" "http://www.nytimes.com/2016/04/29/movies/a-beautiful-planet-review.html" "G" 0
"16" "Bourek" "2016-04-29" "2016-04-28" "http://www.nytimes.com/2016/04/29/movies/bourek-review.html" "" 0
"17" "Dough" "2016-04-29" "2016-04-28" "http://www.nytimes.com/2016/04/29/movies/dough-review.html" "" 0
"18" "Mother’s Day" "2016-04-29" "2016-04-28" "http://www.nytimes.com/2016/04/29/movies/mothers-day-review.html" "PG-13" 0
"19" "Papa: Hemingway in Cuba" "2016-04-29" "2016-04-28" "http://www.nytimes.com/2016/04/29/movies/papa-hemingway-in-cuba-review.html" "R" 0
"20" "Pali Road" "2016-04-29" "2016-04-28" "http://www.nytimes.com/2016/04/29/movies/pali-road-review.html" "" 0
"21" "Ratchet & Clank" "2016-04-29" "2016-04-28" "http://www.nytimes.com/2016/04/29/movies/ratchet-clank-review.html" "PG" 0
"22" "Viva" "2016-04-29" "2016-04-28" "http://www.nytimes.com/2016/04/29/movies/viva-review.html" "R" 1
"23" "Fassbinder: To Love Without Demands" "2016-04-29" "2016-04-28" "http://www.nytimes.com/2016/04/29/movies/fassbinder-to-love-without-demands-review.html" "" 0
"24" "Keanu" "2016-04-29" "2016-04-28" "http://www.nytimes.com/2016/04/29/movies/keanu-review-key-and-peele.html" "R" 0
"25" "Eva Hesse" "2016-04-27" "2016-04-26" "http://www.nytimes.com/2016/04/27/movies/review-eva-hesse-documentary.html" "" 1
"26" "Hockney" "2016-04-22" "2016-04-21" "http://www.nytimes.com/2016/04/22/movies/hockney-review.html" "" 0
"27" "Compadres" "2016-04-22" "2016-04-21" "http://www.nytimes.com/2016/04/22/movies/compadres-review.html" "" 0
"28" "Love Thy Nature" "2016-04-22" "2016-04-21" "http://www.nytimes.com/2016/04/22/movies/review-in-love-thy-nature-it-takes-a-planet.html" "" 0
"29" "Men & Chicken" "2016-04-22" "2016-04-21" "http://www.nytimes.com/2016/04/22/movies/men-and-chicken-review.html" "" 0
"30" "Nina" "2016-04-22" "2016-04-21" "http://www.nytimes.com/2016/04/22/movies/nina-review-zoe-saldana-nina-simone.html" "" 0
"31" "Elvis & Nixon" "2016-04-22" "2016-04-21" "http://www.nytimes.com/2016/04/22/movies/elvis-and-nixon-review.html" "R" 0
"32" "The Huntsman: Winter’s War" "2016-04-22" "2016-04-21" "http://www.nytimes.com/2016/04/22/movies/review-the-huntsman-a-study-in-hollywoods-overstuffed-playbook.html" "PG-13" 0
"33" "A Hologram for the King" "2016-04-22" "2016-04-21" "http://www.nytimes.com/2016/04/22/movies/review-a-hologram-for-the-king-is-elevated-by-tom-hankss-portrayal-of-an-american-everyman.html" "R" 1
"34" "The Meddler" "2016-04-22" "2016-04-21" "http://www.nytimes.com/2016/04/22/movies/the-meddler-review-susan-sarandon-rose-byrne.html" "PG-13" 1
"35" "Green Room" "2016-04-29" "2016-04-14" "http://www.nytimes.com/2016/04/15/movies/green-room-review.html" "R" 0
