"","tweet","city","movie","day","Sentiment_Score"
"1","RT @nathanielr: story time (1/?) On Mother's Day I went to a movie which had no mother characters (A BIGGER SPLASH). The screen next to us…","New York City","A Bigger Splash","05.11.2016",0.807317039690247
"2","story time (1/?) On Mother's Day I went to a movie which had no mother characters (A BIGGER SPLASH). The screen next to us was MOTHER'S DAY","New York City","A Bigger Splash","05.11.2016",0.873419310765685
"3","A Bigger Splash Movie CLIP - Bedroom (2016) - Dakota Johnson, Tilda Swin... https://t.co/NLyrVyVx6L via @YouTube","Chicago","A Bigger Splash","05.11.2016",0.905613915157788
"4","Ralph Fiennes' manic music producer is reason enough to see 'A Bigger Splash.' https://t.co/8c5qhf2026","Los Angeles","A Bigger Splash","05.11.2016",0.5627101474765
"5","Who wants to see a free movie? A BIGGER SPLASH, 5/18, 7pm, Pacific Place. Hit the link for passes: https://t.co/MPZBxQdpgV","Seattle","A Bigger Splash","05.11.2016",0.479832769313974
"6","RT @Fantasmagorie_: Hey @mubi's movie of the day is Lovers on the Bridge. If you haven't seen it, prepare yourself for something beautiful.","Chicago","Beautiful Something","05.11.2016",0.596138353438238
"7","Hey @mubi's movie of the day is Lovers on the Bridge. If you haven't seen it, prepare yourself for something beautiful.","Chicago","Beautiful Something","05.11.2016",0.706779358806265
"8","Check out my review ( https://t.co/tbeirbQqSv ) of the new movie ""Being Charlie"" starring #NickRobinson https://t.co/TjAwO7MTH4","New York City","Being Charlie","05.11.2016",0.65791033645699
"9","In terms of how the movie plays out, I think TNC captures my feelings well: https://t.co/RloLXrB7Sq https://t.co/4fV3hmdPfG","Boston","Captain America: Civil War","05.11.2016",0.80723872697117
"10","‘Captain America: Civil War’ And How ‘Squad Goal’ Comic Book Movies Have Pushed Humanity To The Margins https://t.co/jm715Kw2Ob","Boston","Captain America: Civil War","05.11.2016",0.542033999866986
"11","‘Captain America: Civil War’ And How ‘Squad Goal’ Comic Book Movies Have Pushed Humanity To The Margins https://t.co/bPe9PwbVSH","Boston","Captain America: Civil War","05.11.2016",0.399635752911034
"12","Movie Review: #CaptainAmericaCivilWar https://t.co/9xwbha0gbe The best Avengers movie of all. #TeamCap  #TeamIronMan https://t.co/ymEPjZk5vA","Boston","Captain America: Civil War","05.11.2016",0.991600441146963
"13","I give Captain America: Civil War a B+. Spidey was the best part of the whole movie. Looking forward to his MCU trilogy.","Boston","Captain America: Civil War","05.11.2016",0.862885974084404
"14","@nwwong absolutely agree! The latest captain America movie, civil war,  is fantastic! Marvel knows how to manage multiple super heroes!","Boston","Captain America: Civil War","05.11.2016",0.987391787254885
"15","RT @aarontrites: Finally saw Civil War. Captain America is a better movie Superman than Superman has been for years.","Boston","Captain America: Civil War","05.11.2016",0.651012206730848
"16","Captain America: Civil War Trailer Made On A Budget: The newest Marvel movie… https://t.co/Gkqz3vHu2X #TonsofVideos","Boston","Captain America: Civil War","05.11.2016",0.646793973948027
"17","I liked a @YouTube video https://t.co/JY7O2zDKCD Captain America: Civil War- SPOILER MOVIE REVIEW","Boston","Captain America: Civil War","05.11.2016",0.88443228952708
"18","Captain America civil war movie was awesome","Boston","Captain America: Civil War","05.11.2016",0.964711376591881
"19","So I'll come out and say it captain America civil war was an over hyped movie","Boston","Captain America: Civil War","05.11.2016",0.373316073031906
